City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Pevek,RU,2021-06-02 19:27:15,69.7008,170.3133,32.45,73,19,2.19
67,Tasiilaq,GL,2021-06-02 19:27:15,65.6145,-37.6368,39.36,82,30,5.95
68,Piranhas,BR,2021-06-02 19:27:15,-16.4269,-51.8222,90.05,29,51,3.8
69,Harper,LR,2021-06-02 19:27:16,4.375,-7.7169,79.9,83,19,7.43
70,Man,CI,2021-06-02 19:27:16,7.4125,-7.5538,84.09,55,77,3.11
71,Hays,US,2021-06-02 19:27:16,30.0502,-98.0336,86.11,58,77,1.01
72,Buala,SB,2021-06-02 19:26:09,-8.145,159.5921,79.7,82,83,3.06
73,Upernavik,GL,2021-06-02 19:27:17,72.7868,-56.1549,32.04,82,100,7.49
74,Fortuna,US,2021-06-02 19:27:17,40.5982,-124.1573,88.48,87,20,8.05
75,Sun Valley,US,2021-06-02 19:27:17,39.5963,-119.776,92.68,18,20,3.0
76,Longyearbyen,SJ,2021-06-02 19:27:18,78.2186,15.6401,39.04,81,90,26.46
77,Porbandar,IN,2021-06-02 19:27:18,21.6422,69.6093,83.23,79,9,12.95
78,Pimentel,PE,2021-06-02 19:27:19,-6.8367,-79.9342,70.09,83,90,4.0
79,Itoigawa,JP,2021-06-02 19:27:19,37.0333,137.85,65.39,83,32,6.35
80,Vardo,NO,2021-06-02 19:27:19,70.3705,31.1107,61.0,55,0,4.61
81,Cidreira,BR,2021-06-02 19:27:20,-30.1811,-50.2056,67.96,71,100,9.69
82,Cape Town,ZA,2021-06-02 19:24:49,-33.9258,18.4232,63.12,79,0,5.01
83,Khasan,RU,2021-06-02 19:27:20,42.4308,130.6434,55.26,99,100,7.25
84,Hithadhoo,MV,2021-06-02 19:24:02,-0.6,73.0833,83.91,67,100,16.35
85,Port Alfred,ZA,2021-06-02 19:27:21,-33.5906,26.891,61.36,79,99,19.89
86,Cherskiy,RU,2021-06-02 19:25:21,68.75,161.3,53.08,38,36,8.12
87,Aklavik,CA,2021-06-02 19:27:21,68.2191,-135.0107,36.32,86,90,4.61
88,Tuatapere,NZ,2021-06-02 19:27:21,-46.1333,167.6833,49.82,90,40,4.74
89,Karpathos,GR,2021-06-02 19:27:22,35.507,27.2132,67.96,77,20,13.56
90,Yeppoon,AU,2021-06-02 19:27:22,-23.1333,150.7333,62.38,86,6,2.82
91,Marsabit,KE,2021-06-02 19:27:22,2.3284,37.9899,70.11,45,98,13.15
92,Marawi,PH,2021-06-02 19:22:57,7.9986,124.2928,67.64,84,100,4.47
93,Lebu,CL,2021-06-02 19:23:13,-37.6167,-73.65,56.23,91,100,9.19
94,Te Anau,NZ,2021-06-02 19:25:26,-45.4167,167.7167,42.82,93,49,1.45
95,Albany,US,2021-06-02 19:26:38,42.6001,-73.9662,79.9,58,100,4.9
96,Rikitea,PF,2021-06-02 19:27:23,-23.1203,-134.9692,72.36,60,100,17.83
97,Dikson,RU,2021-06-02 19:27:24,73.5069,80.5464,22.77,93,31,5.48
98,Gashua,NG,2021-06-02 19:27:24,12.871,11.0482,94.12,25,8,4.79
99,Valparaiso,CL,2021-06-02 19:27:24,-33.0393,-71.6273,75.43,56,0,17.27
100,Tiksi,RU,2021-06-02 19:27:25,71.6872,128.8694,47.55,76,100,10.31
101,Ternate,ID,2021-06-02 19:27:25,0.8,127.4,80.8,79,41,1.59
102,Sioux Lookout,CA,2021-06-02 19:27:25,50.1001,-91.917,77.38,33,40,12.66
103,Laguna,US,2021-06-02 19:27:26,38.421,-121.4238,99.64,40,1,4.0
104,Padang,ID,2021-06-02 19:27:26,-0.9492,100.3543,78.19,87,87,4.5
105,Embu,BR,2021-06-02 19:27:26,-23.6489,-46.8522,78.84,51,0,7.34
106,Nikolskoye,RU,2021-06-02 19:27:27,59.7035,30.7861,60.69,75,35,5.39
107,Lata,PT,2021-06-02 19:27:27,40.1629,-8.3327,66.72,84,100,6.98
108,Ewa Beach,US,2021-06-02 19:27:27,21.3156,-158.0072,82.35,57,20,8.99
109,Georgetown,MY,2021-06-02 19:24:05,5.4112,100.3354,82.89,88,20,2.3
110,Cockburn Town,TC,2021-06-02 19:25:22,21.4612,-71.1419,84.16,65,90,11.5
111,Malaya Serdoba,RU,2021-06-02 19:27:28,52.4661,44.9512,55.0,70,90,16.28
112,Galle,LK,2021-06-02 19:27:28,6.0367,80.217,80.67,82,85,13.31
113,Pisco,PE,2021-06-02 19:24:09,-13.7,-76.2167,64.45,88,90,4.61
114,Thompson,CA,2021-06-02 19:27:29,55.7435,-97.8558,78.96,34,75,12.66
115,Korla,CN,2021-06-02 19:27:29,41.7597,86.1469,80.08,21,3,7.38
116,Jamestown,US,2021-06-02 19:23:59,42.097,-79.2353,71.19,56,20,10.36
117,Cayenne,GF,2021-06-02 19:27:30,4.9333,-52.3333,87.84,76,40,5.01
118,Parrita,CR,2021-06-02 19:27:30,9.5201,-84.3225,96.06,67,37,7.67
119,Dzhebariki-Khaya,RU,2021-06-02 19:27:31,62.2167,135.8,48.7,92,35,3.11
120,Bluff,NZ,2021-06-02 19:27:31,-46.6,168.3333,49.8,82,100,11.07
121,Yellowknife,CA,2021-06-02 19:27:31,62.456,-114.3525,59.52,77,40,4.61
